language_dependency,file_path,function_name,line_number,call_body
approx,rpart.exp.R,rpart.exp,104,"approx(itable, cumhaz, time)$y"
approx,rpart.exp.R,rpart.exp,105,"approx(itable, cumhaz, y[, 1L])$y"
