language_dependency,file_path,function_name,line_number,call_body
plot,meanvar.rpart.R,meanvar.rpart,13,"plot(x, y, xlab = xlab, ylab = ylab, type = ""n"", ...)"
plot,plot.rpart.R,plot.rpart,21,"plot(temp1, temp2, type = ""n"", axes = FALSE, xlab = """", ylab = """", ...)"
plot,plotcp.R,plotcp,20,plot
plot,post.rpart.R,post.rpart,16,"plot(tree, uniform = TRUE, branch = 0.2, compress = TRUE, margin = 0.1)"
plot,roc.rpart.R,roc.rpart,62,"plot(1-specificity, sensitivity, type = ""o"", xlim = c(0, 1),
                 ylim = c(0, 1), ylab = ""Sensitivity"", xlab = ""1-Specificity"")"
plot,roc.rpart.R,roc.rpart,66,"plot(specificity, sensitivity, type = ""o"", xlim = c(0, 1),
                 ylim = c(0, 1), ylab = ""Sensitivity"", xlab = ""Specificity"")"
plot,rsq.rpart.R,rsq.rpart,18,"plot(nsplit, 1 - rel.error, xlab = ""Number of Splits"", ylab = ""R-square"",
        ylim = c(0, 1), type = ""o"")"
plot,rsq.rpart.R,rsq.rpart,21,"plot(nsplit, 1 - xerror, type = ""o"", ylim = c(0, 1), lty = 2,
        xlab = "" "", ylab = "" "")"
plot,rsq.rpart.R,rsq.rpart,26,"plot(nsplit, xerror, xlab = ""Number of Splits"", ylab = ""X Relative Error"",
        ylim = ylim, type = ""o"")"
