language_dependency,file_path,function_name,line_number,call_body
signif,plotcp.R,plotcp,25,"signif(cp, 2L)"
signif,print.rpart.R,print.rpart,22,"signif(frame$yval, digits)"
signif,print.rpart.R,print.rpart,27,"signif(frame$dev, digits)"
signif,summary.rpart.R,summary.rpart,48,"signif(x$splits[i, 4L], digits)"
signif,summary.rpart.R,summary.rpart,50,"signif(x$splits[i, 4L], digits)"
signif,summary.rpart.R,summary.rpart,74,"signif(ff$complexity[i], digits)"
signif,summary.rpart.R,summary.rpart,92,"signif(x$splits[j, 3L], digits)"
