external_item,header_file,category,file_name,line_number,context_statement
Rprintf,R_ext/Print.h,function,print_tree.c,59,"Rprintf(""\n\nNode number %d: %d observations"", id, me->num_obs);"
Rprintf,R_ext/Print.h,function,print_tree.c,60,"Rprintf(""\t   Complexity param= %f\n"", me->complexity);"
Rprintf,R_ext/Print.h,function,print_tree.c,61,"Rprintf(""  response estimate=%f,  risk/n= %f\n"", *(me->response_est), me->risk / me->num_obs);"
Rprintf,R_ext/Print.h,function,print_tree.c,65,"Rprintf(""  left son=%d (%d obs)"", 2 * id, (me->leftson)->num_obs);"
Rprintf,R_ext/Print.h,function,print_tree.c,67,"Rprintf("" right son=%d (%d obs)"", 2 * id + 1, (me->rightson)->num_obs);"
Rprintf,R_ext/Print.h,function,print_tree.c,71,"Rprintf(""\n"");"
Rprintf,R_ext/Print.h,function,print_tree.c,73,"Rprintf("", %d obs do not split\n"", i);"
Rprintf,R_ext/Print.h,function,print_tree.c,75,"Rprintf(""\n"");"
Rprintf,R_ext/Print.h,function,print_tree.c,77,"Rprintf(""  Primary splits:\n"");"
Rprintf,R_ext/Print.h,function,print_tree.c,82,"Rprintf(""\tvar%d < %5g to the left, improve=%5.3f,  (%d missing)\n"", j, ss->spoint, ss->improve, me->num_obs - ss->count);"
Rprintf,R_ext/Print.h,function,print_tree.c,86,"Rprintf(""\tvar%d > %5g to the left, improve=%5.3f, (%d missing)\n"", j, ss->spoint, ss->improve, me->num_obs - ss->count);"
Rprintf,R_ext/Print.h,function,print_tree.c,90,"Rprintf(""\tvar%d splits as "", j);"
Rprintf,R_ext/Print.h,function,print_tree.c,94,"Rprintf(""L"");"
Rprintf,R_ext/Print.h,function,print_tree.c,97,"Rprintf(""R"");"
Rprintf,R_ext/Print.h,function,print_tree.c,100,"Rprintf(""-"");"
Rprintf,R_ext/Print.h,function,print_tree.c,104,"Rprintf("",\timprove=%5.3f, (%d missing)\n"", ss->improve, (me->num_obs - ss->count));"
Rprintf,R_ext/Print.h,function,print_tree.c,107,"Rprintf("", improve=%5.3f, (%d missing)\n"", ss->improve, (me->num_obs - ss->count));"
Rprintf,R_ext/Print.h,function,print_tree.c,116,"Rprintf(""  Surrogate splits:\n"");"
Rprintf,R_ext/Print.h,function,print_tree.c,121,"Rprintf(""\tvar%d < %5g to the left, agree=%5.3f, (%d split)\n"", j, ss->spoint, ss->improve, ss->count);"
Rprintf,R_ext/Print.h,function,print_tree.c,125,"Rprintf(""\tvar%d > %5g to the left, agree=%5.3f, (%d split)\n"", j, ss->spoint, ss->improve, ss->count);"
Rprintf,R_ext/Print.h,function,print_tree.c,129,"Rprintf(""\tvar%d splits as "", j);"
Rprintf,R_ext/Print.h,function,print_tree.c,133,"Rprintf(""L"");"
Rprintf,R_ext/Print.h,function,print_tree.c,136,"Rprintf(""R"");"
Rprintf,R_ext/Print.h,function,print_tree.c,139,"Rprintf(""-"");"
Rprintf,R_ext/Print.h,function,print_tree.c,143,"Rprintf("",\tagree=%5.3f, (%d split)\n"", ss->improve, ss->count);"
Rprintf,R_ext/Print.h,function,print_tree.c,146,"Rprintf("", agree=%5.3f, (%d split)\n"", ss->improve, ss->count);"
